DateTime,MWh,LME,Hour,WeekDay,Month,Day,energy,daily_max_energy,DR_underclock_threshold,DR_flag,energy_daily_avg_no_dr,energy_savings,DR_percent,curtailment_start,curtailment_end,DR_active,induced_emissions,avoided_emissions,net_emissions
2023-07-01 00:00:00,116.6891222,0.626578,0,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,75.25480657336239,0.0,75.25480657336239
2023-07-01 01:00:00,118.4238536,0.7072309999999999,1,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,84.94159084373479,0.0,84.94159084373479
2023-07-01 02:00:00,117.497875,0.664274,2,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,79.7822639507192,0.0,79.7822639507192
2023-07-01 03:00:00,116.6779418,0.6796230000000001,3,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,81.62574716604841,0.0,81.62574716604841
2023-07-01 04:00:00,115.8464179,0.567484,4,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,68.1573541577872,0.0,68.1573541577872
2023-07-01 05:00:00,116.554165,0.4594169999999999,5,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,55.178026473183586,0.0,55.178026473183586
2023-07-01 06:00:00,119.0094733,0.382549,6,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,45.9458375490892,0.0,45.9458375490892
2023-07-01 07:00:00,119.0151183,0.386837,7,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,46.4608454341196,0.0,46.4608454341196
2023-07-01 08:00:00,118.8058488,0.393244,8,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,47.2303546503952,0.0,47.2303546503952
2023-07-01 09:00:00,118.2221453,0.628919,9,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,75.5359710926852,0.0,75.5359710926852
2023-07-01 10:00:00,117.0277038,0.524413,10,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,62.9843353573804,0.0,62.9843353573804
2023-07-01 11:00:00,116.1282073,0.372738,11,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,44.7674927822904,0.0,44.7674927822904
2023-07-01 12:00:00,115.9066083,0.641221,12,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,77.0134960464268,0.0,77.0134960464268
2023-07-01 13:00:00,116.0854259,0.614433,13,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,73.79613801839639,0.0,73.79613801839639
2023-07-01 14:00:00,116.7149263,0.821485,14,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,98.664004765438,0.0,98.664004765438
2023-07-01 15:00:00,118.0113096,0.68592,15,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,82.38204489273599,0.0,82.38204489273599
2023-07-01 16:00:00,119.1286285,1.059794,16,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,127.28597633113519,0.0,127.28597633113519
2023-07-01 17:00:00,120.1044508,0.909866,17,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,109.27895623159279,0.0,109.27895623159279
2023-07-01 18:00:00,116.5144529,0.736924,18,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,88.5078523013392,0.0,88.5078523013392
2023-07-01 19:00:00,117.3250794,0.8934439999999999,19,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,107.30660094055519,0.0,107.30660094055519
2023-07-01 20:00:00,117.8969432,0.831913,20,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,99.9164539783804,0.0,99.9164539783804
2023-07-01 21:00:00,117.719091,0.641814,21,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,77.0847179857512,0.0,77.0847179857512
2023-07-01 22:00:00,116.9464084,0.7906190000000001,22,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,94.9568607870452,0.0,94.9568607870452
2023-07-01 23:00:00,117.1683626,0.522586,23,5,7,1,120.1044508,120.1044508,108.09400572,False,120.1044508,0.0,0.0,False,False,False,62.7649045257688,0.0,62.7649045257688
